"ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";
"8";"http://sgubook.url.ph/prestashop/img/p/2/4/24.jpg";"Sứ mệnh làm sếp";"";"Sách Kinh Tế";"45000.000000";"49500";"10";"1";
"23";"http://sgubook.url.ph/prestashop/img/p/3/9/39.jpg";"Bé tập tô màu";"";"Sách Thiếu Nhi";"9090.909091";"10000";"10";"1";
"16";"http://sgubook.url.ph/prestashop/img/p/3/2/32.jpg";"KỂ CHUYỆN SỨ THẦN VIỆT NAM";"";"Sách Thiếu Nhi";"26363.636364";"29000";"10";"1";
"15";"http://sgubook.url.ph/prestashop/img/p/3/1/31.jpg";"Từ điển kinh tế học Anh-Việt";"";"Sách Kinh Tế";"203636.363636";"224000";"10";"1";
"26";"http://sgubook.url.ph/prestashop/img/p/4/2/42.jpg";"Tuyển Tập Truyện Cười Tiếng Anh - Tập 2 (Song Ngữ)";"";"Sách Ngoại Ngữ";"27272.727273";"30000";"15";"1";
"10";"http://sgubook.url.ph/prestashop/img/p/2/6/26.jpg";"Người Giỏi Không Phải Là Người Làm Tất Cả";"";"Sách Kinh Tế";"21818.181818";"24000";"10";"1";
"21";"http://sgubook.url.ph/prestashop/img/p/3/7/37.jpg";"Từ điển động vật bằng hình cho trẻ em";"";"Sách Thiếu Nhi";"40000.000000";"44000";"10";"1";
"29";"http://sgubook.url.ph/prestashop/img/p/4/5/45.jpg";"Hướng Dẫn Tự Học Adobe Photoshop CS6 Dành Cho Nhà Thiết Kế (Kèm 1 CD)";"";"Sách Tin Học";"57272.727273";"63000";"20";"1";
"18";"http://sgubook.url.ph/prestashop/img/p/3/4/34.jpg";"Lớp học gia đình ( 4 tuổi )";"";"Sách Thiếu Nhi";"36363.636364";"40000";"10";"1";
"12";"http://sgubook.url.ph/prestashop/img/p/2/8/28.jpg";"Siêu kinh tế học hài hước";"";"Sách Kinh Tế";"50000.000000";"55000";"10";"1";
"24";"http://sgubook.url.ph/prestashop/img/p/4/0/40.jpg";"Succeed In TOEIC - 10 Practice Tests (Kèm 1 MP3)";"";"Sách Ngoại Ngữ";"292727.272727";"322000";"10";"1";
"14";"http://sgubook.url.ph/prestashop/img/p/3/0/30.jpg";"Hiểu kinh tế qua một bài học";"";"Sách Kinh Tế";"30909.090909";"34000";"10";"1";
"19";"http://sgubook.url.ph/prestashop/img/p/3/5/35.jpg";"MÃ TIỂU KHIÊU TINH NGHỊCH - ÔNG BỐ HAM CHƠI (TẬP 1)";"";"Sách Thiếu Nhi";"272727.272727";"300000";"10";"1";
"27";"http://sgubook.url.ph/prestashop/img/p/4/3/43.jpg";"Từ Điển Kinh Tế Ngoại Thương Và Hàng Hải Việt - Anh";"";"Sách Ngoại Ngữ";"114545.454545";"126000";"20";"1";
"9";"http://sgubook.url.ph/prestashop/img/p/2/5/25.jpg";"Bí quyết tay trắng thành triệu phú";"";"Sách Kinh Tế";"90.909091";"100";"10";"1";
"22";"http://sgubook.url.ph/prestashop/img/p/3/8/38.jpg";"Thơ thiếu nhi chọn lọc";"";"Sách Thiếu Nhi";"22727.272727";"25000";"10";"1";
"17";"http://sgubook.url.ph/prestashop/img/p/3/3/33.jpg";"10 vạn cau hỏi vì sao?";"";"Sách Thiếu Nhi";"81818.181818";"90000";"10";"1";
"13";"http://sgubook.url.ph/prestashop/img/p/2/9/29.jpg";"Trí tuệ kinh doanh châu á";"";"Sách Kinh Tế";"31818.181818";"35000";"10";"1";
"25";"http://sgubook.url.ph/prestashop/img/p/4/1/41.jpg";"Tuyển Tập Truyện Cười Tiếng Anh - Tập 1 (Song Ngữ)";"";"Sách Ngoại Ngữ";"26363.636364";"29000";"10";"1";
"11";"http://sgubook.url.ph/prestashop/img/p/2/7/27.jpg";"Các lý thuyết kinh tế";"";"Sách Kinh Tế";"90000.000000";"99000";"10";"1";
"20";"http://sgubook.url.ph/prestashop/img/p/3/6/36.jpg";"1000 Từ tu tieng anh dau tien";"";"Sách Thiếu Nhi";"44545.454545";"49000";"10";"1";
"28";"http://sgubook.url.ph/prestashop/img/p/4/4/44.jpg";"Hướng Dẫn Tự Học Adobe Photoshop CS6 - Dành Cho Người Mới Bắt Đầu";"";"Sách Tin Học";"66363.636364";"73000";"20";"1";